iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
558,33.113,2.117,0.419,0.023,30.540,0
559,33.803,1.966,0.506,0.011,31.309,0
560,35.037,2.172,0.543,0.007,32.306,0
561,34.204,2.362,1.009,0.006,20.577,0
562,32.873,2.693,1.063,0.026,28.969,0
563,33.641,3.764,1.504,0.016,28.346,0
564,32.329,2.616,0.995,0.014,28.695,0
565,35.211,2.593,0.836,0.008,31.624,0
566,31.469,3.447,1.518,0.011,26.476,0
567,31.335,2.561,0.483,0.006,28.278,0
568,41.495,1.684,0.404,0.004,39.397,0
569,66.153,5.092,1.305,0.016,59.721,0
